Filename	MSE	PSNR(dB)	SSIM		Avg_%_Mod
yes_yes_Y100	0.0098	20.11		0.7369		7.27
yes_yes_Y101	0.0079	21.04		0.7213		6.66
yes_yes_Y102	0.0073	21.34		0.8124		6.31
yes_yes_Y103	0.0053	22.74		0.9021		5.61
yes_yes_Y104	0.0061	22.15		0.7414		5.91
yes_yes_Y105	0.0038	24.25		0.7102		4.28
yes_yes_Y106	0.0069	21.61		0.7770		6.28
yes_yes_Y107	0.0045	23.49		0.6994		4.65
yes_yes_Y108	0.0048	23.18		0.6544		4.62
yes_yes_Y109	0.0084	20.78		0.7985		6.81
yes_yes_Y10	0.0045	23.49		0.8478		4.87
yes_yes_Y111	0.0046	23.38		0.7888		5.34
yes_yes_Y112	0.0070	21.55		0.8432		6.25
yes_yes_Y113	0.0052	22.88		0.8622		5.32
yes_yes_Y114	0.0049	23.09		0.6504		4.87
yes_yes_Y115	0.0046	23.35		0.7750		4.90
yes_yes_Y116	0.0078	21.06		0.6930		6.37
yes_yes_Y117	0.0050	23.00		0.7167		5.24
yes_yes_Y11	0.0099	20.05		0.7451		7.73
yes_yes_Y120	0.0109	19.61		0.7712		8.33
yes_yes_Y12	0.0071	21.52		0.7870		6.62
yes_yes_Y13	0.0045	23.47		0.7420		5.05
yes_yes_Y146	0.0072	21.44		0.8457		6.32
yes_yes_Y147	0.0090	20.44		0.8114		7.52
yes_yes_Y148	0.0100	20.01		0.7468		7.82
yes_yes_Y14	0.0044	23.58		0.8470		4.87
yes_yes_Y153	0.0039	24.10		0.7020		4.46
yes_yes_Y154	0.0067	21.76		0.7784		6.26
yes_yes_Y155	0.0068	21.69		0.7172		6.31
yes_yes_Y156	0.0080	20.99		0.7466		6.98
yes_yes_Y157	0.0087	20.59		0.8311		7.07
yes_yes_Y158	0.0070	21.55		0.8071		6.36
yes_yes_Y159	0.0100	19.98		0.8466		7.45
yes_yes_Y15	0.0103	19.87		0.8302		7.78
yes_yes_Y160	0.0144	18.40		0.6821		9.28
yes_yes_Y161	0.0083	20.82		0.7531		6.85
yes_yes_Y162	0.0048	23.18		0.6544		4.62
yes_yes_Y163	0.0062	22.05		0.8010		5.76
yes_yes_Y164	0.0089	20.52		0.7385		7.34
yes_yes_Y165	0.0146	18.37		0.7252		9.52
yes_yes_Y166	0.0037	24.36		0.7199		4.45
yes_yes_Y167	0.0107	19.70		0.8205		7.78
yes_yes_Y168	0.0067	21.73		0.6821		5.82
yes_yes_Y169	0.0045	23.47		0.7420		5.05
yes_yes_Y16	0.0045	23.43		0.8551		4.77
yes_yes_Y170	0.0133	18.76		0.6678		9.17
yes_yes_Y17	0.0044	23.58		0.8470		4.87
yes_yes_Y180	0.0048	23.22		0.8771		5.46
yes_yes_Y181	0.0103	19.87		0.8302		7.78
yes_yes_Y182	0.0099	20.06		0.8066		7.39
yes_yes_Y183	0.0106	19.75		0.7856		7.97
yes_yes_Y184	0.0083	20.79		0.7759		7.07
yes_yes_Y185	0.0034	24.64		0.7759		4.39
yes_yes_Y186	0.0077	21.15		0.7242		6.56
yes_yes_Y187	0.0089	20.48		0.7940		6.72
yes_yes_Y188	0.0184	17.35		0.6747		9.50
yes_yes_Y18	0.0075	21.23		0.6945		6.65
yes_yes_Y192	0.0135	18.69		0.6990		9.10
yes_yes_Y193	0.0116	19.37		0.7833		7.96
yes_yes_Y194	0.0143	18.45		0.6586		9.24
yes_yes_Y195	0.0126	18.98		0.7213		9.06
yes_yes_Y19	0.0136	18.67		0.7570		9.09
yes_yes_Y1	0.0100	19.99		0.7171		7.59
yes_yes_Y20	0.0111	19.54		0.6566		7.95
yes_yes_Y21	0.0083	20.82		0.6820		6.72
yes_yes_Y22	0.0063	22.00		0.8108		5.84
yes_yes_Y23	0.0112	19.53		0.6820		8.28
yes_yes_Y242	0.0151	18.22		0.7227		9.96
yes_yes_Y243	0.0134	18.73		0.7728		9.05
yes_yes_Y244	0.0096	20.19		0.6757		7.15
yes_yes_Y245	0.0105	19.79		0.6087		7.46
yes_yes_Y246	0.0135	18.68		0.6434		9.14
yes_yes_Y247	0.0115	19.41		0.7160		8.09
yes_yes_Y248	0.0111	19.55		0.5577		7.61
yes_yes_Y249	0.0066	21.80		0.7433		5.91
yes_yes_Y24	0.0124	19.06		0.7766		7.91
yes_yes_Y250	0.0088	20.54		0.7726		6.98
yes_yes_Y251	0.0141	18.52		0.6978		8.98
yes_yes_Y252	0.0179	17.46		0.6109		9.93
yes_yes_Y253	0.0155	18.09		0.6921		9.77
yes_yes_Y254	0.0099	20.03		0.7761		8.10
yes_yes_Y255	0.0096	20.19		0.7040		7.58
yes_yes_Y256	0.0099	20.03		0.6697		7.68
yes_yes_Y257	0.0135	18.71		0.7513		8.55
yes_yes_Y258	0.0124	19.08		0.6812		8.73
yes_yes_Y259	0.0091	20.39		0.6220		7.26
yes_yes_Y25	0.0050	23.04		0.7179		5.29
yes_yes_Y26	0.0103	19.85		0.7280		7.85
yes_yes_Y27	0.0041	23.86		0.9115		4.59
yes_yes_Y28	0.0079	21.02		0.6205		5.91
yes_yes_Y29	0.0039	24.09		0.6607		3.97
yes_yes_Y2	0.0091	20.41		0.6467		7.10
yes_yes_Y30	0.0101	19.95		0.7002		7.81
yes_yes_Y31	0.0084	20.73		0.6736		7.05
yes_yes_Y32	0.0155	18.11		0.7045		9.76
yes_yes_Y33	0.0045	23.49		0.6994		4.65
yes_yes_Y34	0.0103	19.87		0.8302		7.78
yes_yes_Y35	0.0089	20.53		0.8408		6.04
yes_yes_Y36	0.0058	22.33		0.7418		5.65
yes_yes_Y37	0.0045	23.49		0.8478		4.87
yes_yes_Y38	0.0101	19.95		0.7002		7.81
yes_yes_Y39	0.0112	19.50		0.7211		8.38
yes_yes_Y3	0.0106	19.74		0.6887		7.50
yes_yes_Y40	0.0070	21.58		0.8454		6.55
yes_yes_Y41	0.0072	21.44		0.7804		6.44
yes_yes_Y42	0.0105	19.81		0.6801		7.94
yes_yes_Y44	0.0099	20.06		0.7023		7.97
yes_yes_Y45	0.0092	20.37		0.8115		7.19
yes_yes_Y46	0.0067	21.77		0.8800		5.83
yes_yes_Y47	0.0056	22.53		0.8174		5.83
yes_yes_Y49	0.0070	21.56		0.8002		6.09
yes_yes_Y4	0.0088	20.56		0.6269		6.69
yes_yes_Y50	0.0127	18.97		0.6907		8.51
yes_yes_Y51	0.0104	19.85		0.8264		8.15
yes_yes_Y52	0.0101	19.96		0.7074		7.71
yes_yes_Y53	0.0095	20.24		0.6600		7.34
yes_yes_Y54	0.0101	19.95		0.7002		7.81
yes_yes_Y55	0.0053	22.73		0.6930		5.29
yes_yes_Y56	0.0060	22.24		0.8293		5.47
yes_yes_Y58	0.0059	22.33		0.8451		5.51
yes_yes_Y59	0.0047	23.30		0.8623		5.06
yes_yes_Y60	0.0081	20.89		0.7378		7.03
yes_yes_Y61	0.0075	21.25		0.7299		6.55
yes_yes_Y62	0.0084	20.73		0.6736		7.05
yes_yes_Y65	0.0066	21.83		0.7475		6.00
yes_yes_Y66	0.0061	22.13		0.7112		5.61
yes_yes_Y67	0.0098	20.07		0.6115		6.40
yes_yes_Y69	0.0050	23.04		0.7179		5.29
yes_yes_Y6	0.0101	19.96		0.7033		7.73
yes_yes_Y70	0.0101	19.95		0.7002		7.81
yes_yes_Y71	0.0078	21.05		0.7400		6.62
yes_yes_Y73	0.0058	22.36		0.7085		5.70
yes_yes_Y74	0.0053	22.73		0.6930		5.29
yes_yes_Y75	0.0060	22.24		0.7806		6.05
yes_yes_Y76	0.0055	22.63		0.6973		5.52
yes_yes_Y77	0.0088	20.58		0.6653		6.76
yes_yes_Y78	0.0092	20.37		0.6584		6.98
yes_yes_Y79	0.0067	21.76		0.7784		6.26
yes_yes_Y7	0.0130	18.85		0.7103		8.77
yes_yes_Y81	0.0083	20.79		0.7703		7.16
yes_yes_Y82	0.0059	22.28		0.7984		5.75
yes_yes_Y85	0.0038	24.19		0.8563		4.75
yes_yes_Y86	0.0116	19.37		0.7623		8.11
yes_yes_Y89	0.0093	20.33		0.8300		7.50
yes_yes_Y8	0.0089	20.52		0.8411		6.03
yes_yes_Y90	0.0051	22.94		0.6193		4.69
yes_yes_Y91	0.0084	20.78		0.7378		6.55
yes_yes_Y92	0.0111	19.53		0.6566		7.96
yes_yes_Y95	0.0098	20.08		0.6194		6.93
yes_yes_Y96	0.0139	18.58		0.6967		8.89
yes_yes_Y97	0.0104	19.82		0.8147		8.01
yes_yes_Y98	0.0078	21.06		0.6791		6.70
